ax,ay,bx,by
501,969,486,550
501,969,486,550
501,969,479,562
501,969,470,580
501,969,461,607
457,966,451,642
457,966,436,687
457,966,424,737
403,994,408,787
403,994,396,839
358,1024,384,894
358,1024,374,945
312,1066,365,990
312,1066,359,1028
274,1117,356,1059
274,1117,358,1078
256,1167,368,1083
256,1167,383,1078
265,1212,406,1059
265,1212,430,1038
265,1212,463,1011
331,1235,494,985
331,1235,527,959
390,1211,558,939
390,1211,585,930
454,1163,605,930
454,1163,616,941
502,1104,625,957
502,1104,624,983
530,1049,618,1010
530,1049,607,1041
530,1049,594,1075
532,1003,575,1103
532,1003,556,1128
532,1003,533,1149
532,1003,512,1165
532,1003,488,1174
532,1003,465,1179
532,1003,439,1179
532,1003,414,1176
532,1003,390,1168
550,1055,367,1160
550,1055,348,1149
582,1109,336,1142
582,1109,321,1142
620,1167,321,1142
620,1167,313,1152
660,1221,,
660,1221,,
704,1247,,
704,1247,,
762,1251,,